FECHA, N1,N2,N3,N4,N5,N6,C,R,Pares/Impares,Decenas,Bajos/Altos,Repiten
Dom-28-02-1988 ,6,8,12,23,24,45,3,0,(4/2),'21201',(5/1),0
Lun-29-02-1988 ,11,31,33,34,41,49,42,0,(1/5),'01032',(1/5),0
Mar-1-03-1988 ,8,20,21,29,48,49,41,0,(3/3),'10302',(3/3),1
Mie-2-03-1988 ,8,24,25,29,36,39,47,0,(3/3),'10320',(3/3),2
Dom-6-03-1988 ,2,5,6,20,29,37,15,0,(3/3),'30210',(4/2),1
Lun-7-03-1988 ,1,22,29,39,41,44,42,0,(2/4),'10212',(2/4),1
Mar-8-03-1988 ,1,16,21,31,33,44,42,0,(2/4),'11121',(3/3),2
Mie-9-03-1988 ,1,3,30,32,38,46,2,0,(4/2),'20031',(2/4),1
Dom-13-03-1988 ,15,16,21,23,35,49,31,0,(1/5),'02211',(4/2),0
Lun-14-03-1988 ,1,6,19,34,43,47,5,0,(2/4),'21012',(3/3),0
Mar-15-03-1988 ,7,28,29,34,38,43,32,0,(3/3),'10221',(1/5),2
Mie-16-03-1988 ,6,12,22,25,26,49,16,0,(4/2),'11301',(4/2),0
Dom-20-03-1988 ,7,9,29,32,41,48,25,0,(2/4),'20112',(2/4),0
Lun-21-03-1988 ,5,13,26,27,29,40,39,0,(2/4),'11301',(2/4),1
Mar-22-03-1988 ,3,17,21,32,33,34,23,0,(2/4),'11130',(3/3),0
Mie-23-03-1988 ,6,18,20,36,40,42,37,0,(6/0),'11112',(3/3),0
Dom-27-03-1988 ,5,24,26,43,46,48,25,0,(4/2),'10203',(2/4),0
Lun-28-03-1988 ,2,12,15,17,23,42,27,0,(3/3),'13101',(5/1),0
Mar-29-03-1988 ,2,8,28,33,42,43,35,0,(4/2),'20112',(2/4),2
Mie-30-03-1988 ,2,8,14,22,28,49,38,0,(5/1),'21201',(4/2),3
Dom-3-04-1988 ,1,6,9,16,44,48,26,0,(4/2),'31002',(4/2),0
Lun-4-04-1988 ,8,19,20,30,31,40,34,0,(4/2),'11121',(3/3),0
Mar-5-04-1988 ,9,11,24,31,36,49,1,0,(2/4),'11121',(3/3),1
Mie-6-04-1988 ,15,18,21,22,26,40,7,0,(4/2),'02301',(4/2),0
Dom-10-04-1988 ,2,6,16,17,41,47,31,0,(3/3),'22002',(4/2),0
Lun-11-04-1988 ,8,11,12,35,40,44,19,0,(4/2),'12012',(3/3),0
Mar-12-04-1988 ,7,11,15,26,35,49,23,0,(1/5),'12111',(3/3),2
Mie-13-04-1988 ,10,20,27,32,43,45,42,0,(3/3),'01212',(2/4),0
Dom-17-04-1988 ,17,20,22,25,32,48,3,0,(4/2),'01311',(4/2),2
Lun-18-04-1988 ,6,29,31,33,34,38,47,0,(3/3),'10140',(1/5),0
Mar-19-04-1988 ,17,23,28,33,36,38,2,0,(3/3),'01230',(2/4),2
Mie-20-04-1988 ,12,17,24,29,45,49,34,0,(2/4),'02202',(3/3),1
Dom-24-04-1988 ,4,14,17,19,27,44,22,0,(3/3),'13101',(4/2),1
Lun-25-04-1988 ,3,8,19,30,36,40,47,0,(4/2),'21021',(3/3),1
Mar-26-04-1988 ,6,18,23,29,31,33,38,0,(2/4),'11220',(3/3),0
Mie-27-04-1988 ,6,9,11,27,36,37,19,0,(2/4),'21120',(3/3),1
Dom-1-05-1988 ,11,16,32,33,48,49,18,0,(3/3),'02022',(2/4),1
Lun-2-05-1988 ,2,14,19,29,34,43,23,0,(3/3),'12111',(3/3),0
Mar-3-05-1988 ,7,20,22,23,25,26,43,0,(3/3),'10500',(5/1),0
Mie-4-05-1988 ,3,17,20,30,39,49,19,0,(2/4),'11121',(3/3),1
Dom-8-05-1988 ,13,23,28,38,40,41,22,0,(3/3),'01212',(2/4),0
Lun-9-05-1988 ,8,9,13,36,46,47,21,0,(3/3),'21012',(3/3),1
Mar-10-05-1988 ,11,15,32,39,40,49,31,0,(2/4),'02022',(2/4),0
Mie-11-05-1988 ,2,9,21,24,31,44,47,0,(3/3),'20211',(4/2),0
Dom-15-05-1988 ,13,14,15,34,43,47,28,0,(2/4),'03012',(3/3),0
Lun-16-05-1988 ,1,4,12,18,29,47,46,0,(3/3),'22101',(4/2),1
Mar-17-05-1988 ,7,22,35,44,47,48,38,0,(3/3),'10113',(2/4),1
Mie-18-05-1988 ,14,30,32,34,40,46,37,0,(6/0),'01032',(1/5),0
Dom-22-05-1988 ,1,10,12,19,48,49,46,0,(3/3),'13002',(4/2),0
Lun-23-05-1988 ,2,6,18,25,29,36,45,0,(4/2),'21210',(4/2),0
Mar-24-05-1988 ,4,7,10,15,34,35,49,0,(3/3),'22020',(4/2),0
Mie-25-05-1988 ,9,16,21,33,44,49,3,0,(2/4),'11112',(3/3),0
Dom-29-05-1988 ,1,6,11,21,45,47,28,0,(1/5),'21102',(4/2),1
Lun-30-05-1988 ,1,9,20,39,40,48,3,0,(3/3),'20112',(3/3),1
Mar-31-05-1988 ,10,13,18,25,39,41,23,0,(2/4),'03111',(4/2),1
Mie-1-06-1988 ,14,20,32,38,47,49,43,0,(4/2),'01122',(2/4),0
Dom-5-06-1988 ,9,31,37,39,47,48,44,0,(1/5),'10032',(1/5),1
Lun-6-06-1988 ,20,28,29,31,36,41,24,0,(3/3),'00321',(1/5),1
Mar-7-06-1988 ,6,10,11,14,39,47,36,0,(3/3),'13011',(4/2),0
Mie-8-06-1988 ,3,18,21,33,46,48,22,0,(3/3),'11112',(3/3),0
Dom-12-06-1988 ,3,8,11,14,33,35,1,0,(2/4),'22020',(4/2),2
Lun-13-06-1988 ,9,17,18,21,22,47,7,0,(2/4),'12201',(5/1),0
Mar-14-06-1988 ,12,14,16,26,27,29,45,0,(4/2),'03300',(3/3),0
Mie-15-06-1988 ,3,11,20,21,26,31,7,0,(2/4),'11310',(4/2),1
Dom-19-06-1988 ,9,12,25,37,46,47,23,0,(2/4),'11112',(3/3),0
Lun-20-06-1988 ,4,6,36,45,46,49,21,0,(4/2),'20013',(2/4),1
Mar-21-06-1988 ,10,13,16,28,30,48,21,0,(5/1),'03111',(3/3),0
Mie-22-06-1988 ,4,8,10,12,39,42,32,0,(5/1),'22011',(4/2),1
Dom-26-06-1988 ,9,11,14,21,43,48,25,0,(2/4),'12102',(4/2),0
Lun-27-06-1988 ,2,17,24,31,40,49,7,0,(3/3),'11112',(3/3),0
Mar-28-06-1988 ,10,16,18,27,29,46,39,0,(4/2),'03201',(3/3),0
Mie-29-06-1988 ,2,11,23,28,29,49,3,0,(2/4),'11301',(3/3),1
Dom-3-07-1988 ,4,7,34,41,43,49,27,0,(2/4),'20013',(2/4),1
Lun-4-07-1988 ,12,16,18,32,39,49,24,0,(4/2),'03021',(3/3),1
Mar-5-07-1988 ,1,5,13,30,39,46,20,0,(2/4),'21021',(3/3),1
Mie-6-07-1988 ,2,21,37,38,39,40,47,0,(3/3),'10131',(2/4),1
Dom-10-07-1988 ,12,17,36,45,47,49,39,0,(2/4),'02013',(2/4),0
Lun-11-07-1988 ,7,17,28,34,36,44,27,0,(4/2),'11121',(2/4),2
Mar-12-07-1988 ,1,12,15,18,22,43,32,0,(3/3),'13101',(5/1),0
Mie-13-07-1988 ,2,18,19,21,26,48,24,0,(4/2),'12201',(4/2),1
Dom-17-07-1988 ,10,15,22,36,45,47,19,0,(3/3),'02112',(3/3),0
Lun-18-07-1988 ,1,9,10,14,18,26,31,0,(4/2),'23100',(5/1),1
Mar-19-07-1988 ,5,14,20,24,29,34,6,0,(4/2),'11310',(4/2),1
Mie-20-07-1988 ,1,6,18,22,26,38,36,0,(5/1),'21210',(4/2),0
Dom-24-07-1988 ,11,16,24,26,37,42,21,0,(4/2),'02211',(3/3),1
Lun-25-07-1988 ,4,5,19,30,42,45,22,0,(3/3),'21012',(3/3),1
Mar-26-07-1988 ,11,16,19,32,35,42,44,0,(3/3),'03021',(3/3),2
Mie-27-07-1988 ,4,12,21,34,35,40,14,0,(4/2),'11121',(3/3),1
Dom-31-07-1988 ,6,11,14,16,35,45,19,0,(3/3),'13011',(4/2),1
Lun-1-08-1988 ,3,14,19,24,35,49,38,0,(2/4),'12111',(4/2),2
Mar-2-08-1988 ,2,5,7,31,35,38,48,0,(2/4),'30030',(3/3),1
Mie-3-08-1988 ,14,17,20,25,27,35,34,0,(2/4),'02310',(4/2),1
Dom-7-08-1988 ,9,19,23,26,39,48,2,0,(2/4),'11211',(3/3),0
Lun-8-08-1988 ,21,27,34,44,45,47,12,0,(2/4),'00213',(1/5),0
Mar-9-08-1988 ,22,26,32,39,44,46,31,0,(5/1),'00222',(1/5),1
Mie-10-08-1988 ,1,10,22,26,43,47,11,0,(3/3),'11202',(3/3),2
Dom-14-08-1988 ,1,2,3,26,29,45,32,0,(2/4),'30201',(3/3),2
Lun-15-08-1988 ,10,12,19,22,30,47,5,0,(4/2),'03111',(4/2),0
Mar-16-08-1988 ,4,10,32,34,43,46,12,0,(5/1),'11022',(2/4),1
Mie-17-08-1988 ,6,10,15,17,26,46,30,0,(4/2),'13101',(4/2),2
